YEAR,Model_2007,Model_2008,Model_2009,Model_2010,Model_2011,Model_2012,Model_2013,Model_2014,Model_2015,Model_2016,Model_2017,Model_2018,Model_2020
1963,114.151,124.29,130.3,106.11,84.4,102.75,102.87,98.4275,100.061,100.262,100.262,100.86,91.191
1964,114.151,124.29,130.3,106.11,84.4,102.75,102.87,98.4275,100.061,100.262,100.262,100.86,91.191
1965,114.151,124.29,130.3,106.11,84.4,102.75,102.87,98.4257,100.059,100.26,100.26,100.86,91.19
1966,113.503,124.15,130.12,106,84.31,102.66,102.79,98.3428,99.9751,100.172,100.172,100.77,91.14
1967,111.715,121.96,127.73,104.34,82.92,101.28,101.42,96.9595,98.5728,98.77,98.77,99.40,90.378
1968,108.976,116.77,122.1,100.37,79.69,98.05,98.21,93.7275,95.2975,95.4855,95.4855,96.16,88.57
1969,105.884,109.47,114.2,94.638,74.96,93.24,93.45,88.9798,90.4834,90.5704,90.5704,91.43,85.768
1970,103.073,102.37,106.56,88.896,70.55,88.47,88.73,84.2951,85.7461,85.7325,85.7325,86.95,82.65
1971,101.273,98.47,102.35,85.315,68.05,85.18,85.51,81.1368,82.6491,82.5997,82.5997,84.36,79.756
1972,100.455,99.64,103.53,85.926,68.55,84.31,84.71,80.5435,82.3012,82.3194,82.3194,84.88,78.872
1973,100.114,105.62,109.72,90.852,72.72,86.31,86.83,82.9615,85.0894,85.3951,85.3951,88.99,81.259
1974,99.7348,115.33,119.72,99.632,80.29,90.83,91.45,87.6066,90.1625,90.8635,90.8635,95.34,86.951
1975,100.647,128.84,133.6,110.63,89.67,96.97,97.72,93.3581,96.3252,97.4006,97.4006,102.42,94.467
1976,103.783,152.74,158.25,132.44,106.96,110.92,111.87,106.11,109.81,111.205,111.205,117.09,102.5
1977,108.207,188.39,194.97,165.28,131.99,130.37,131.6,123.6,128.171,129.805,129.805,136.84,118.53
1978,112.353,233.66,241.49,208.62,165.5,154.34,155.89,144.51,150.049,152.394,152.394,160.07,138.52
1979,114.264,275.64,284.42,248.76,194.67,170.96,172.78,157.392,163.6,166.195,166.195,173.62,161.2
1980,110.121,307.09,316.49,279.73,216.21,178.12,180.17,161.356,168.112,170.912,170.912,178.67,174.46
1981,109.228,322.12,332.39,287.84,221.71,169.95,172.16,147.477,154.767,157.657,157.657,166.62,179.49
1982,124.377,407.61,421.53,373.65,284.64,240.51,242.98,191.977,202.245,205.435,205.435,218.92,168.93
1983,137.684,500.32,517.7,469.52,346.52,326.34,329.14,243.743,257.337,262.038,262.038,280.97,226.57
1984,139.895,547.4,565.55,520.07,377.54,387.69,390.73,275.81,291.416,301.158,301.158,318.33,285.43
1985,137.377,522.42,538.66,495.69,344.54,380.6,383.36,265.271,280.158,289.754,289.754,300.94,316.28
1986,137.854,484.92,498.95,462.14,314.99,372.21,374.48,257.856,271.697,279.903,279.903,292.58,301.17
1987,137.146,460.71,472.78,444.5,331.38,382.6,384.32,276.346,288.932,296.881,296.881,310.67,295.38
1988,134.484,433.6,443.73,421.63,337.37,370.71,371.93,284.616,295.226,301.533,301.533,312.01,312.54
1989,132.596,397.49,405.67,389.41,320.6,330.27,330.89,278.275,286.663,293.307,293.307,302.02,310.55
1990,130.822,364.92,371.16,356.86,294.65,295.72,295.84,262.566,268.95,274.952,274.952,283.49,298.5
1991,124.985,292.15,296.88,286.34,240.48,233.41,233.03,211.945,216.512,220.683,220.683,229.28,280.35
1992,126.732,220.58,224.34,215.65,198.97,188.17,187.59,173.062,176.424,179.869,179.869,187.17,226.31
1993,125.738,181.34,184.72,178.06,171.28,161.39,160.61,153.639,156.346,159.241,159.241,165.19,183.11
1994,120.801,148.45,151.83,146.98,141.09,134.64,133.78,131.453,133.683,135.665,135.665,142.13,160.97
1995,111.708,115.56,119.08,116.12,112.15,107.79,107,106.53,108.41,110.256,110.256,117.05,137.07
1996,87.0376,87.43,90.898,88.107,86.44,82.96,82.14,82.4899,84.1005,85.3904,85.3904,91.78,110.97
1997,76.2032,75.16,78.846,76.131,77.29,71.51,70.63,72.358,73.8669,74.6263,74.6263,82.80,85.648
1998,63.2408,65.23,69.144,66.295,70.47,63.64,62.71,65.7018,67.1831,67.5904,67.5904,78.03,76.406
1999,57.0866,58.49,62.62,59.827,66.46,57.12,56.14,59.4386,60.8929,60.9558,60.9558,72.46,70.515
2000,61.2139,61.01,65.321,62.353,67.98,58.73,57.72,60.948,62.2964,62.0486,62.0486,72.82,63.954
2001,64.3894,62.87,67.286,64.141,68.24,59.15,58.11,61.2367,62.4294,61.9849,61.9849,72.71,63.786
2002,68.4435,64.25,68.73,65.039,67.43,59.17,58.13,60.594,61.6599,60.8636,60.8636,71.14,63.231
2003,75.6968,66.69,71.394,67.823,68.39,61.05,59.98,61.655,62.6679,61.3474,61.3474,71.04,61.246
2004,83.268,73.75,79.18,76.207,75.37,67.1,65.82,66.6843,67.7142,65.8271,65.8271,75.23,60.753
2005,87.0954,81.5,87.636,85.045,83.33,73.8,72.24,72.0567,73.0437,70.7774,70.7774,79.28,64.055
2006,,85.21,91.568,88.817,85.89,76.76,75.01,73.7197,74.59,72.2196,72.2196,78.44,66.642
2007,,84.89,91.012,86.498,81.85,75.33,73.56,71.4165,72.1382,69.581,69.581,73.48,65.049
2008,,84.94,90.682,82.54,78.19,73.51,71.75,68.1797,68.7691,65.9204,65.9204,68.51,60.393
2009,,88.93,94.206,79.689,75.6,74.12,72.26,66.3529,66.8266,63.581,63.581,64.49,55.679
2010,,,101.47,79.68,71.7,76.97,74.88,67.2333,67.5811,64.2996,64.2996,63.07,51.752
2011,,,,83.561,69.32,80.96,78.57,69.8763,70.0763,67.6316,67.6316,64.57,50.981
2012,,,,,70.99,83.64,81.05,70.9704,71.0116,69.7453,69.7453,65.54,52.965
2013,,,,,,85.48,82.6,69.7871,69.6876,68.9187,68.9187,65.58,53.971
2014,,,,,,,84.63,68.2786,68.1258,66.8766,66.8766,65.84,54.365
2015,,,,,,,,70.0901,70.2087,68.7725,68.7725,71.20,55.193
2016,,,,,,,,,74.3526,72.5199,72.5199,78.16,59.911
2017,,,,,,,,,,77.6735,77.6735,85.70,67.638
2018,,,,,,,,,,,78.3055,89.84,76.984
2019,,,,,,,,,,,,95.22,84.033
2020,,,,,,,,,,,,,87.725
2021,,,,,,,,,,,,,90.106
