"YEAR","SUM_WEIGHT_POSTED","FMP_SUBAREA","SPECIES_NAME","TRIP_TARGET_CODE","TRIP_TARGET_GROUP"
"2000",170.76,"AI","pollock, walleye","A","Atka Mackerel"
"2000",824.56,"AI","pollock, walleye","C","Pacific Cod"
"2000",247.31,"AI","pollock, walleye","K","Rockfish"
"2000",0.01,"AI","pollock, walleye","O","Other"
"2000",0.1,"AI","pollock, walleye","S","Sablefish"
"2000",1.71,"AI","pollock, walleye","T","Flatfish"
"2000",0.01,"AI","pollock, walleye","Z","Other"
"2001",111.28,"AI","pollock, walleye","A","Atka Mackerel"
"2001",388.26,"AI","pollock, walleye","C","Pacific Cod"
"2001",324.14,"AI","pollock, walleye","K","Rockfish"
"2001",0.72,"AI","pollock, walleye","O","Other"
"2001",0.06,"AI","pollock, walleye","S","Sablefish"
"2001",0.08,"AI","pollock, walleye","T","Flatfish"
"2001",0.12,"AI","pollock, walleye","Z","Other"
"2002",220.06,"AI","pollock, walleye","A","Atka Mackerel"
"2002",724.34,"AI","pollock, walleye","C","Pacific Cod"
"2002",231.08,"AI","pollock, walleye","K","Rockfish"
"2002",1.64,"AI","pollock, walleye","S","Sablefish"
"2002",0.02,"AI","pollock, walleye","T","Flatfish"
"2003",342.228,"AI","pollock, walleye","A","Atka Mackerel"
"2003",793.965,"AI","pollock, walleye","C","Pacific Cod"
"2003",0.526,"AI","pollock, walleye","I","Halibut"
"2003",510.521,"AI","pollock, walleye","K","Rockfish"
"2003",0.641,"AI","pollock, walleye","O","Other"
"2003",0.575,"AI","pollock, walleye","R","Flatfish"
"2003",0.324,"AI","pollock, walleye","S","Sablefish"
"2003",0.073,"AI","pollock, walleye","T","Flatfish"
"2004",299.181,"AI","pollock, walleye","A","Atka Mackerel"
"2004",552.519,"AI","pollock, walleye","C","Pacific Cod"
"2004",0.183,"AI","pollock, walleye","I","Halibut"
"2004",306.024,"AI","pollock, walleye","K","Rockfish"
"2004",0.089,"AI","pollock, walleye","T","Flatfish"
"2005",302.909,"AI","pollock, walleye","A","Atka Mackerel"
"2005",194.854,"AI","pollock, walleye","B","Pollock"
"2005",671.112,"AI","pollock, walleye","C","Pacific Cod"
"2005",0.003,"AI","pollock, walleye","I","Halibut"
"2005",440.155,"AI","pollock, walleye","K","Rockfish"
"2005",0.167,"AI","pollock, walleye","O","Other"
"2005",11.626,"AI","pollock, walleye","P","Pollock"
"2005",0.069,"AI","pollock, walleye","S","Sablefish"
"2005",0.04,"AI","pollock, walleye","T","Flatfish"
"2006",214.81,"AI","pollock, walleye","A","Atka Mackerel"
"2006",304.161,"AI","pollock, walleye","B","Pollock"
"2006",321.984,"AI","pollock, walleye","C","Pacific Cod"
"2006",0.03,"AI","pollock, walleye","I","Halibut"
"2006",306.638,"AI","pollock, walleye","K","Rockfish"
"2006",0.124,"AI","pollock, walleye","O","Other"
"2006",593.13,"AI","pollock, walleye","P","Pollock"
"2006",0.481,"AI","pollock, walleye","S","Sablefish"
"2006",3.635,"AI","pollock, walleye","W","Flatfish"
"2007",171.902,"AI","pollock, walleye","A","Atka Mackerel"
"2007",830.789,"AI","pollock, walleye","B","Pollock"
"2007",419.228,"AI","pollock, walleye","C","Pacific Cod"
"2007",514.596,"AI","pollock, walleye","K","Rockfish"
"2007",0.12,"AI","pollock, walleye","O","Other"
"2007",580.58,"AI","pollock, walleye","P","Pollock"
"2007",0.061,"AI","pollock, walleye","S","Sablefish"
"2007",1.649,"AI","pollock, walleye","T","Flatfish"
"2007",0.036,"AI","pollock, walleye","W","Flatfish"
"2008",152.533,"AI","pollock, walleye","A","Atka Mackerel"
"2008",119.651,"AI","pollock, walleye","B","Pollock"
"2008",63.734,"AI","pollock, walleye","C","Pacific Cod"
"2008",482.398,"AI","pollock, walleye","K","Rockfish"
"2008",0.147,"AI","pollock, walleye","O","Other"
"2008",394.973,"AI","pollock, walleye","P","Pollock"
"2008",0.029,"AI","pollock, walleye","S","Sablefish"
"2008",27.234,"AI","pollock, walleye","T","Flatfish"
"2008",37.113,"AI","pollock, walleye","W","Flatfish"
"2009",363.071,"AI","pollock, walleye","A","Atka Mackerel"
"2009",38.537,"AI","pollock, walleye","B","Pollock"
"2009",79.176,"AI","pollock, walleye","C","Pacific Cod"
"2009",793.786,"AI","pollock, walleye","K","Rockfish"
"2009",0.193,"AI","pollock, walleye","O","Other"
"2009",248.072,"AI","pollock, walleye","P","Pollock"
"2009",0.025,"AI","pollock, walleye","S","Sablefish"
"2009",8.59,"AI","pollock, walleye","T","Flatfish"
"2009",130.755,"AI","pollock, walleye","W","Flatfish"
"2010",391.6588941646,"AI","pollock, walleye","A","Atka Mackerel"
"2010",245.7308807289,"AI","pollock, walleye","B","Pollock"
"2010",63.9196727282,"AI","pollock, walleye","C","Pacific Cod"
"2010",0.052208942,"AI","pollock, walleye","I","Halibut"
"2010",373.5710472897,"AI","pollock, walleye","K","Rockfish"
"2010",49.73189,"AI","pollock, walleye","P","Pollock"
"2010",0.1617144822,"AI","pollock, walleye","S","Sablefish"
"2010",1.74909,"AI","pollock, walleye","T","Flatfish"
"2010",162.073691684,"AI","pollock, walleye","W","Flatfish"
"2011",314.3612278546,"AI","pollock, walleye","A","Atka Mackerel"
"2011",63.5935896772,"AI","pollock, walleye","C","Pacific Cod"
"2011",380.69219,"AI","pollock, walleye","K","Rockfish"
"2011",221.859564365,"AI","pollock, walleye","M","Flatfish"
"2011",0.7987439999,"AI","pollock, walleye","O","Other"
"2011",0.1883655916,"AI","pollock, walleye","S","Sablefish"
"2011",0.15711,"AI","pollock, walleye","T","Flatfish"
"2011",226.3057298758,"AI","pollock, walleye","W","Flatfish"
"2012",370.2104063524,"AI","pollock, walleye","A","Atka Mackerel"
"2012",86.1259687491,"AI","pollock, walleye","C","Pacific Cod"
"2012",295.43986,"AI","pollock, walleye","K","Rockfish"
"2012",120.7603507554,"AI","pollock, walleye","M","Flatfish"
"2012",0.02,"AI","pollock, walleye","S","Sablefish"
"2012",102.73887,"AI","pollock, walleye","W","Flatfish"
"2013",492.70451,"AI","pollock, walleye","A","Atka Mackerel"
"2013",145.19428,"AI","pollock, walleye","B","Pollock"
"2013",23.7413455539,"AI","pollock, walleye","C","Pacific Cod"
"2013",0.0139257135,"AI","pollock, walleye","I","Halibut"
"2013",1152.31893,"AI","pollock, walleye","K","Rockfish"
"2013",440.01571,"AI","pollock, walleye","M","Flatfish"
"2013",0.0365722685,"AI","pollock, walleye","S","Sablefish"
"2013",0.0297031555,"AI","pollock, walleye","T","Flatfish"
"2013",710.0459689186,"AI","pollock, walleye","W","Flatfish"
"2014",633.18461,"AI","pollock, walleye","A","Atka Mackerel"
"2014",11.5123816998,"AI","pollock, walleye","C","Pacific Cod"
"2014",0.2136567951,"AI","pollock, walleye","I","Halibut"
"2014",903.64163,"AI","pollock, walleye","K","Rockfish"
"2014",132.993,"AI","pollock, walleye","M","Flatfish"
"2014",0.002,"AI","pollock, walleye","S","Sablefish"
"2014",693.39254,"AI","pollock, walleye","W","Flatfish"
"2015",145.8306191314,"AI","pollock, walleye","A","Atka Mackerel"
"2015",42.35767,"AI","pollock, walleye","B","Pollock"
"2015",7.489146706,"AI","pollock, walleye","C","Pacific Cod"
"2015",0.1214464517,"AI","pollock, walleye","I","Halibut"
"2015",537.87476,"AI","pollock, walleye","K","Rockfish"
"2015",168.12385,"AI","pollock, walleye","M","Flatfish"
"2015",12.30456,"AI","pollock, walleye","P","Pollock"
"2015",1.29973,"AI","pollock, walleye","W","Flatfish"
"2016",449.9701787899,"AI","pollock, walleye","A","Atka Mackerel"
"2016",70.45163,"AI","pollock, walleye","B","Pollock"
"2016",17.1629089589,"AI","pollock, walleye","C","Pacific Cod"
"2016",0.4357505128,"AI","pollock, walleye","I","Halibut"
"2016",473.7188554227,"AI","pollock, walleye","K","Rockfish"
"2016",100.38963,"AI","pollock, walleye","M","Flatfish"
"2016",144.44401,"AI","pollock, walleye","W","Flatfish"
"2017",493.032127241,"AI","pollock, walleye","A","Atka Mackerel"
"2017",18.07213016,"AI","pollock, walleye","C","Pacific Cod"
"2017",0.0822838815,"AI","pollock, walleye","I","Halibut"
"2017",965.5723657686,"AI","pollock, walleye","K","Rockfish"
"2017",29.8987,"AI","pollock, walleye","M","Flatfish"
"2017",0.1183035137,"AI","pollock, walleye","S","Sablefish"
"2018",772.9587173658,"AI","pollock, walleye","A","Atka Mackerel"
"2018",47.17751,"AI","pollock, walleye","B","Pollock"
"2018",6.0479540904,"AI","pollock, walleye","C","Pacific Cod"
"2018",0.1084798982,"AI","pollock, walleye","I","Halibut"
"2018",761.6593932572,"AI","pollock, walleye","K","Rockfish"
"2018",84.22715,"AI","pollock, walleye","M","Flatfish"
"2018",187.8081064289,"AI","pollock, walleye","P","Pollock"
"2018",0.0042593767,"AI","pollock, walleye","S","Sablefish"
"2019",534.0053718395,"AI","pollock, walleye","A","Atka Mackerel"
"2019",70.1979551812,"AI","pollock, walleye","B","Pollock"
"2019",8.3348012683,"AI","pollock, walleye","C","Pacific Cod"
"2019",0.1018860397,"AI","pollock, walleye","I","Halibut"
"2019",954.1793317066,"AI","pollock, walleye","K","Rockfish"
"2019",96.49418,"AI","pollock, walleye","M","Flatfish"
"2019",0.0128253081,"AI","pollock, walleye","S","Sablefish"
"2019",0.12453,"AI","pollock, walleye","W","Flatfish"
"2020",462.8261275264,"AI","pollock, walleye","A","Atka Mackerel"
"2020",295.3659583516,"AI","pollock, walleye","B","Pollock"
"2020",75.7484527491,"AI","pollock, walleye","C","Pacific Cod"
"2020",0.2327254131,"AI","pollock, walleye","I","Halibut"
"2020",1329.0713123894,"AI","pollock, walleye","K","Rockfish"
"2020",534.079977286,"AI","pollock, walleye","M","Flatfish"
"2020",416.1714530672,"AI","pollock, walleye","P","Pollock"
"2020",0.017852975,"AI","pollock, walleye","S","Sablefish"
"2020",88.6547,"AI","pollock, walleye","W","Flatfish"
"2021",404.0349886851,"AI","pollock, walleye","A","Atka Mackerel"
"2021",58.7911424366,"AI","pollock, walleye","C","Pacific Cod"
"2021",0.3736786923,"AI","pollock, walleye","I","Halibut"
"2021",924.6174472035,"AI","pollock, walleye","K","Rockfish"
"2021",409.31611,"AI","pollock, walleye","M","Flatfish"
"2021",0.2610577878,"AI","pollock, walleye","S","Sablefish"
"2021",42.32272,"AI","pollock, walleye","W","Flatfish"
"2022",685.1197987537,"AI","pollock, walleye","A","Atka Mackerel"
"2022",216.73364,"AI","pollock, walleye","B","Pollock"
"2022",43.8196725647,"AI","pollock, walleye","C","Pacific Cod"
"2022",0.0168029886,"AI","pollock, walleye","I","Halibut"
"2022",649.4141943755,"AI","pollock, walleye","K","Rockfish"
"2022",1126.1161521886,"AI","pollock, walleye","M","Flatfish"
"2022",0.0322332826,"AI","pollock, walleye","S","Sablefish"
"2022",4.70119,"AI","pollock, walleye","W","Flatfish"
